subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,csat_score,customer_age,signup_source,payment_method,downgrade_history,subscription_status,tenure_days
Digital,Monthly,No,4.59,22,1,Yes,0.89,9.83,Europe,Politics,0.89,0,Mobile,Auto,Retention Offer,0.05,-19,0.29,5,58,Mobile App,Credit Card,No,Cancelled,1515
Digital+Print,Monthly,No,3.93,12,1,No,0.2,4.1,Asia,Politics,0.75,0,Mobile,Auto,Newsletter Promo,0.31,-94,-0.02,5,59,Mobile App,PayPal,No,Active,273
Digital,Annual,Yes,4.03,22,0,No,0.61,13.79,Europe,Politics,0.58,3,Desktop,Auto,,0.06,-24,-0.18,3,47,Mobile App,PayPal,Yes,Active,1534
Digital,Annual,No,0.95,17,0,No,0.09,10.22,Europe,Technology,0.31,0,Mobile,Auto,,0.35,21,0.36,2,22,Mobile App,PayPal,No,Cancelled,1705
Digital,Annual,No,4.82,27,0,No,0.39,11.69,Asia,Culture,0.71,1,Tablet,Auto,,0.26,-32,0.46,2,27,Mobile App,PayPal,No,Active,173
Digital,Monthly,Yes,3.39,10,0,No,0.71,8.14,Europe,Politics,0.31,2,Mobile,Auto,Newsletter Promo,0.31,-11,-0.85,2,65,Web,Credit Card,No,Active,1137
Digital+Print,Monthly,Yes,2.45,14,0,Yes,0.66,8.53,North America,Culture,0.3,0,Desktop,Manual,Newsletter Promo,0.22,-99,0.53,5,48,Web,Credit Card,Yes,Active,1810
Digital,Annual,Yes,3.22,24,1,Yes,0.62,11.15,Asia,Technology,0.73,1,Desktop,Auto,,0.02,60,-0.16,2,28,Web,Credit Card,No,Active,1550
Digital,Monthly,No,0.34,25,1,Yes,0.28,5.34,North America,Technology,0.43,1,Mobile,Manual,,0.15,75,0.8,3,55,Referral,Credit Card,No,Cancelled,1767
Espresso,Monthly,Yes,3.61,24,3,No,0.38,8.57,Asia,Environment,0.43,1,Desktop,Auto,,0.33,-64,-0.33,4,24,Web,Credit Card,Yes,Active,718
Digital,Monthly,No,1.46,21,0,Yes,0.1,6.56,Asia,Politics,0.76,2,Desktop,Auto,Newsletter Promo,0.45,-12,-0.5,5,29,Web,Debit Card,No,Cancelled,594
Digital,Annual,No,0.97,28,1,No,0.72,6.44,Others,Environment,0.34,1,Desktop,Auto,Survey,0.56,26,0.32,4,62,Mobile App,Credit Card,No,Cancelled,1632
Digital+Print,Annual,Yes,0.72,18,0,No,0.5,1.56,North America,Politics,0.52,2,Desktop,Auto,,0.34,2,1.07,4,66,Web,Credit Card,No,Active,154
Digital+Print,Monthly,No,4.67,0,0,Yes,0.71,15.36,Europe,Finance,0.4,1,Mobile,Auto,,0.13,-71,-0.81,5,58,Mobile App,Credit Card,Yes,Active,1032
Digital,Annual,Yes,2.06,3,0,Yes,0.25,7.25,Europe,Culture,0.71,0,Desktop,Auto,Newsletter Promo,0.26,-60,0.42,5,25,Web,PayPal,No,Active,376
Digital+Print,Annual,Yes,5.3,13,0,No,0.32,14.65,North America,Environment,0.76,2,Tablet,Auto,Newsletter Promo,0.16,-97,0.28,2,45,Mobile App,Credit Card,No,Active,377
