customer_id,subscription_type,plan_type,auto_renew,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,discount_used_last_renewal,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,previous_renewal_status,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,subscription_start_date,subscription_end_date,csat_score,customer_age,gender,signup_source,payment_method,downgrade_history,subscription_status
1,Digital,Monthly,No,4.59,22,1,Yes,0.89,9.83,Europe,Politics,0.89,0,Mobile,Auto,Retention Offer,0.05,-19,0.29,2023-11-12 05:54:16.425367,2024-11-11 05:54:16.425367,5,58,Female,Mobile App,Credit Card,No,Cancelled
2,Digital+Print,Monthly,No,3.93,12,1,No,0.2,4.1,Asia,Politics,0.75,0,Mobile,Auto,Newsletter Promo,0.31,-94,-0.02,2023-07-27 05:54:16.425389,2024-07-26 05:54:16.425389,5,59,Male,Mobile App,PayPal,No,Active
3,Digital,Annual,Yes,4.03,22,0,No,0.61,13.79,Europe,Politics,0.58,3,Desktop,Auto,None,0.06,-24,-0.18,2023-11-27 05:54:16.425394,2024-11-26 05:54:16.425394,3,47,Female,Mobile App,PayPal,Yes,Active
4,Digital,Annual,No,0.95,17,0,No,0.09,10.22,Europe,Technology,0.31,0,Mobile,Auto,None,0.35,21,0.36,2023-03-07 05:54:16.425399,2024-03-06 05:54:16.425399,2,22,Other,Mobile App,PayPal,No,Cancelled
5,Digital,Annual,No,4.82,27,0,No,0.39,11.69,Asia,Culture,0.71,1,Tablet,Auto,None,0.26,-32,0.46,2024-01-13 05:54:16.425403,2025-01-12 05:54:16.425403,2,27,Female,Mobile App,PayPal,No,Active
6,Digital,Monthly,Yes,3.39,10,0,No,0.71,8.14,Europe,Politics,0.31,2,Mobile,Auto,Newsletter Promo,0.31,-11,-0.85,2024-05-14 05:54:16.425407,2025-05-14 05:54:16.425407,2,65,Female,Web,Credit Card,No,Active
7,Digital+Print,Monthly,Yes,2.45,14,0,Yes,0.66,8.53,North America,Culture,0.3,0,Desktop,Manual,Newsletter Promo,0.22,-99,0.53,2025-03-16 05:54:16.425412,2026-03-16 05:54:16.425412,5,48,Female,Web,Credit Card,Yes,Active
8,Digital,Annual,Yes,3.22,24,1,Yes,0.62,11.15,Asia,Technology,0.73,1,Desktop,Auto,None,0.02,60,-0.16,2023-04-08 05:54:16.425418,2024-04-07 05:54:16.425418,2,28,Male,Web,Credit Card,No,Active
9,Digital,Monthly,No,0.34,25,1,Yes,0.28,5.34,North America,Technology,0.43,1,Mobile,Manual,None,0.15,75,0.8,2022-12-03 05:54:16.425423,2023-12-03 05:54:16.425423,3,55,Female,Referral,Credit Card,No,Cancelled
10,Espresso,Monthly,Yes,3.61,24,3,No,0.38,8.57,Asia,Environment,0.43,1,Desktop,Auto,None,0.33,-64,-0.33,2025-02-23 05:54:16.425428,2026-02-23 05:54:16.425428,4,24,Female,Web,Credit Card,Yes,Active
11,Digital,Monthly,No,1.46,21,0,Yes,0.1,6.56,Asia,Politics,0.76,2,Desktop,Auto,Newsletter Promo,0.45,-12,-0.5,2024-08-26 05:54:16.425432,2025-08-26 05:54:16.425432,5,29,Male,Web,Debit Card,No,Cancelled
12,Digital,Annual,No,0.97,28,1,No,0.72,6.44,Others,Environment,0.34,1,Desktop,Auto,Survey,0.56,26,0.32,2023-09-22 05:54:16.425437,2024-09-21 05:54:16.425437,4,62,Male,Mobile App,Credit Card,No,Cancelled
13,Digital+Print,Annual,Yes,0.72,18,0,No,0.5,1.56,North America,Politics,0.52,2,Desktop,Auto,None,0.34,2,1.07,2025-02-17 05:54:16.425441,2026-02-17 05:54:16.425441,4,66,Male,Web,Credit Card,No,Active
14,Digital+Print,Monthly,No,4.67,0,0,Yes,0.71,15.36,Europe,Finance,0.4,1,Mobile,Auto,None,0.13,-71,-0.81,2023-05-21 05:54:16.425445,2024-05-20 05:54:16.425445,5,58,Female,Mobile App,Credit Card,Yes,Active
15,Digital,Annual,Yes,2.06,3,0,Yes,0.25,7.25,Europe,Culture,0.71,0,Desktop,Auto,Newsletter Promo,0.26,-60,0.42,2023-05-29 05:54:16.425449,2024-05-28 05:54:16.425449,5,25,Female,Web,PayPal,No,Active
16,Digital+Print,Annual,Yes,5.3,13,0,No,0.32,14.65,North America,Environment,0.76,2,Tablet,Auto,Newsletter Promo,0.16,-97,0.28,2024-11-22 05:54:16.425454,2025-11-22 05:54:16.425454,2,45,Female,Mobile App,Credit Card,No,Active
17,Digital+Print,Monthly,Yes,2.2,13,1,No,0.33,14.28,North America,Finance,0.8,1,Mobile,Auto,None,0.53,-18,-0.02,2022-10-04 05:54:16.425458,2023-10-04 05:54:16.425458,3,33,Female,Web,Credit Card,No,Active
18,Digital,Monthly,Yes,0.44,2,1,No,0.03,4.86,Europe,Technology,0.48,0,Mobile,Manual,Retention Offer,0.25,10,1.04,2024-01-10 05:54:16.425462,2025-01-09 05:54:16.425462,5,20,Male,Web,Credit Card,No,Active
19,Digital,Annual,No,1.33,29,0,Yes,0.34,5.65,Europe,Technology,0.36,1,Tablet,Auto,None,0.26,66,-0.96,2023-01-08 05:54:16.425467,2024-01-08 05:54:16.425467,4,54,Female,Mobile App,Credit Card,No,Cancelled
20,Digital,Monthly,Yes,4.85,27,1,No,0.8,20.24,North America,Culture,0.36,1,Mobile,Auto,None,0.24,-77,0.56,2025-04-04 05:54:16.425471,2026-04-04 05:54:16.425471,5,49,Female,Mobile App,PayPal,No,Active
21,Espresso,Monthly,Yes,2.77,16,2,Yes,0.9,17.0,Europe,Politics,0.6,0,Desktop,Manual,None,0.16,-51,0.49,2022-12-31 05:54:16.425475,2023-12-31 05:54:16.425475,3,38,Male,Web,Credit Card,No,Active
22,Digital,Monthly,Yes,2.18,2,1,No,0.52,9.87,Asia,Culture,0.96,1,Desktop,Auto,Newsletter Promo,0.3,-64,0.6,2023-09-24 05:54:16.425479,2024-09-23 05:54:16.425479,1,62,Female,Web,Credit Card,No,Active
23,Digital,Annual,Yes,3.24,15,1,No,0.46,11.03,Asia,Finance,0.45,1,Desktop,Manual,Newsletter Promo,0.18,80,0.54,2023-01-25 05:54:16.425483,2024-01-25 05:54:16.425483,4,35,Male,Web,Debit Card,No,Active
24,Espresso,Annual,No,3.75,13,1,No,0.03,7.48,Others,Finance,0.48,0,Mobile,Manual,Survey,0.08,-76,0.12,2024-09-18 05:54:16.425488,2025-09-18 05:54:16.425488,1,65,Male,Web,Credit Card,No,Active
25,Digital+Print,Annual,Yes,4.68,29,3,No,0.88,11.73,Europe,Finance,0.37,3,Mobile,Manual,None,0.35,-8,-0.15,2024-11-20 05:54:16.425492,2025-11-20 05:54:16.425492,1,63,Male,Web,Credit Card,No,Active
26,Digital+Print,Monthly,No,5.17,19,2,No,0.01,7.13,Others,Finance,0.72,0,Mobile,Auto,Retention Offer,0.33,24,-0.31,2023-02-01 05:54:16.425497,2024-02-01 05:54:16.425497,3,28,Female,Mobile App,PayPal,No,Cancelled
27,Digital,Annual,Yes,2.46,28,0,Yes,0.94,1.87,Asia,Environment,0.78,2,Desktop,Auto,Retention Offer,0.28,-70,0.29,2025-02-13 05:54:16.425501,2026-02-13 05:54:16.425501,5,67,Female,Web,PayPal,No,Active
28,Digital+Print,Annual,Yes,1.01,12,0,Yes,0.49,4.71,North America,Finance,0.75,1,Desktop,Auto,Survey,0.26,-9,-0.0,2024-12-12 05:54:16.425506,2025-12-12 05:54:16.425506,1,25,Female,Web,Credit Card,No,Active
29,Digital+Print,Monthly,No,2.38,14,1,Yes,0.34,10.08,North America,Environment,0.9,2,Desktop,Auto,Retention Offer,0.27,-63,-0.11,2022-10-24 05:54:16.425510,2023-10-24 05:54:16.425510,2,29,Female,Mobile App,PayPal,No,Active
30,Digital,Annual,Yes,3.39,13,1,Yes,0.92,5.48,Europe,Politics,0.64,0,Desktop,Auto,None,0.47,26,-0.28,2024-01-06 05:54:16.425514,2025-01-05 05:54:16.425514,5,68,Male,Web,Credit Card,No,Active
31,Digital,Monthly,No,1.55,23,1,Yes,0.02,9.73,Europe,Technology,0.39,0,Mobile,Auto,Newsletter Promo,0.07,-43,-0.2,2023-10-24 05:54:16.425519,2024-10-23 05:54:16.425519,4,69,Male,Mobile App,Debit Card,No,Cancelled
32,Digital,Monthly,Yes,1.56,24,0,No,0.58,5.7,Europe,Culture,0.5,0,Mobile,Manual,None,0.07,80,0.39,2024-06-30 05:54:16.425523,2025-06-30 05:54:16.425523,5,19,Male,Mobile App,PayPal,No,Cancelled
33,Espresso,Monthly,Yes,3.52,18,2,Yes,0.55,6.87,Europe,Technology,0.76,1,Desktop,Auto,None,0.66,13,0.01,2022-11-01 05:54:16.425527,2023-11-01 05:54:16.425527,3,58,Male,Web,Credit Card,No,Active
34,Digital,Monthly,Yes,2.93,5,1,No,0.22,13.41,Asia,Technology,0.73,0,Mobile,Manual,None,0.71,-51,0.6,2024-04-07 05:54:16.425532,2025-04-07 05:54:16.425532,3,39,Female,Web,Credit Card,No,Active
35,Digital,Monthly,Yes,3.05,9,1,No,0.43,10.99,Europe,Technology,0.67,1,Mobile,Manual,Retention Offer,0.3,31,-0.68,2024-01-13 05:54:16.425536,2025-01-12 05:54:16.425536,4,26,Female,Web,Credit Card,Yes,Active
36,Digital,Monthly,Yes,1.86,26,1,No,0.65,9.96,North America,Culture,0.78,0,Mobile,Auto,None,0.49,-9,0.31,2024-05-30 05:54:16.425541,2025-05-30 05:54:16.425541,4,31,Male,Mobile App,PayPal,No,Cancelled
37,Digital,Monthly,No,2.65,14,0,No,0.73,13.52,Asia,Culture,0.75,0,Mobile,Auto,Newsletter Promo,0.2,79,-0.5,2024-06-24 05:54:16.425545,2025-06-24 05:54:16.425545,4,32,Male,Mobile App,PayPal,No,Active
38,Digital+Print,Annual,No,1.61,20,0,No,0.0,11.92,North America,Politics,0.92,0,Mobile,Auto,Survey,0.53,58,0.6,2023-11-18 05:54:16.425549,2024-11-17 05:54:16.425549,3,28,Female,Mobile App,Debit Card,No,Cancelled
39,Digital+Print,Monthly,No,4.34,21,2,Yes,0.94,15.79,Others,Culture,0.71,2,Desktop,Manual,None,0.11,-23,0.62,2022-11-24 05:54:16.425553,2023-11-24 05:54:16.425553,5,30,Female,Referral,Credit Card,No,Cancelled
40,Digital+Print,Monthly,No,4.55,19,0,No,0.16,8.16,North America,Finance,0.85,1,Tablet,Auto,None,0.29,41,-0.71,2023-05-29 05:54:16.425558,2024-05-28 05:54:16.425558,1,45,Female,Mobile App,PayPal,No,Cancelled
41,Digital+Print,Monthly,Yes,0.23,25,0,No,0.23,8.28,Others,Politics,0.47,1,Desktop,Auto,Retention Offer,0.2,28,-0.38,2023-11-06 05:54:16.425562,2024-11-05 05:54:16.425562,1,42,Male,Mobile App,Credit Card,No,Cancelled
42,Digital+Print,Annual,Yes,1.61,5,2,No,0.26,4.8,North America,Culture,0.77,0,Tablet,Auto,None,0.02,-58,-0.36,2024-11-17 05:54:16.425567,2025-11-17 05:54:16.425567,2,54,Female,Web,Credit Card,Yes,Active
43,Espresso,Monthly,Yes,0.76,22,1,No,0.04,8.28,North America,Finance,0.93,1,Tablet,Manual,Newsletter Promo,0.08,17,0.63,2022-11-13 05:54:16.425572,2023-11-13 05:54:16.425572,3,23,Male,Web,PayPal,No,Cancelled
44,Digital+Print,Monthly,No,2.02,24,2,No,0.12,13.86,North America,Culture,0.57,0,Desktop,Manual,Newsletter Promo,0.21,-42,-0.3,2023-01-21 05:54:16.425575,2024-01-21 05:54:16.425575,4,54,Female,Web,Credit Card,No,Cancelled
45,Digital+Print,Annual,Yes,2.87,9,0,No,0.99,15.2,Asia,Politics,0.85,1,Mobile,Auto,Retention Offer,0.22,-40,0.35,2022-09-20 05:54:16.425580,2023-09-20 05:54:16.425580,5,50,Male,Mobile App,Credit Card,No,Active
46,Digital,Monthly,Yes,0.83,6,1,No,0.32,13.84,Asia,Politics,0.81,0,Desktop,Auto,Retention Offer,0.28,-60,-0.33,2025-03-05 05:54:16.425584,2026-03-05 05:54:16.425584,3,42,Male,Web,PayPal,No,Active
47,Digital,Monthly,No,1.62,21,0,No,0.12,2.82,Europe,Finance,0.34,0,Mobile,Auto,Retention Offer,0.52,-83,0.54,2023-03-05 05:54:16.425588,2024-03-04 05:54:16.425588,2,67,Female,Mobile App,Credit Card,Yes,Cancelled
48,Digital,Monthly,Yes,1.49,16,5,Yes,0.11,14.33,Others,Politics,0.71,1,Mobile,Auto,Newsletter Promo,0.15,87,0.59,2024-01-30 05:54:16.425593,2025-01-29 05:54:16.425593,1,40,Male,Mobile App,Debit Card,No,Cancelled
49,Digital,Annual,Yes,3.31,17,0,Yes,0.72,2.65,Europe,Culture,0.39,0,Mobile,Manual,None,0.21,96,0.83,2024-06-28 05:54:16.425597,2025-06-28 05:54:16.425597,5,25,Female,Web,Credit Card,No,Active
50,Digital,Monthly,No,3.1,16,0,No,0.85,13.59,Europe,Politics,0.98,1,Desktop,Manual,Newsletter Promo,0.36,-22,-0.09,2025-01-17 05:54:16.425601,2026-01-17 05:54:16.425601,1,34,Male,Mobile App,Credit Card,No,Cancelled
51,Espresso,Annual,Yes,1.92,8,1,No,0.26,8.53,Asia,Finance,0.87,1,Mobile,Manual,None,0.22,86,0.0,2023-10-23 05:54:16.425605,2024-10-22 05:54:16.425605,5,48,Male,Web,Credit Card,No,Active
52,Digital+Print,Monthly,Yes,3.27,9,0,No,0.02,12.81,North America,Politics,0.38,0,Mobile,Auto,Retention Offer,0.31,69,-0.07,2023-03-16 05:54:16.425610,2024-03-15 05:54:16.425610,4,43,Female,Web,Credit Card,No,Active
53,Espresso,Annual,No,2.18,9,2,Yes,0.22,4.67,North America,Politics,0.39,1,Mobile,Auto,None,0.24,63,0.01,2024-04-06 05:54:16.425614,2025-04-06 05:54:16.425614,5,28,Male,Mobile App,Debit Card,No,Active
54,Digital,Annual,Yes,2.59,24,0,No,0.06,14.68,Others,Culture,0.72,0,Desktop,Auto,None,0.54,67,-0.21,2023-06-16 05:54:16.425619,2024-06-15 05:54:16.425619,4,47,Male,Mobile App,Credit Card,No,Active
55,Espresso,Annual,Yes,5.51,6,0,No,0.1,4.14,Others,Politics,0.54,1,Desktop,Auto,Survey,0.41,-71,0.53,2024-10-03 05:54:16.425623,2025-10-03 05:54:16.425623,3,28,Male,Web,Credit Card,Yes,Active
56,Digital+Print,Monthly,Yes,5.01,15,0,Yes,0.43,7.33,Others,Technology,0.32,0,Desktop,Auto,None,0.4,1,-0.38,2024-06-18 05:54:16.425627,2025-06-18 05:54:16.425627,1,20,Female,Web,Credit Card,No,Active
57,Digital+Print,Annual,Yes,1.05,28,0,No,0.23,6.01,Others,Environment,0.68,1,Mobile,Manual,None,0.08,-90,-0.07,2025-03-11 05:54:16.425631,2026-03-11 05:54:16.425631,5,57,Female,Web,PayPal,No,Active
58,Digital,Monthly,Yes,4.24,17,2,No,0.52,2.98,North America,Technology,0.57,2,Mobile,Auto,None,0.15,23,0.1,2023-10-05 05:54:16.425636,2024-10-04 05:54:16.425636,5,57,Female,Web,Credit Card,Yes,Active
59,Digital,Monthly,Yes,4.22,5,0,No,0.25,10.38,Asia,Culture,0.37,1,Desktop,Manual,Retention Offer,0.51,52,0.25,2023-11-28 05:54:16.425640,2024-11-27 05:54:16.425640,2,38,Female,Referral,PayPal,No,Active
60,Digital,Monthly,Yes,1.28,26,1,Yes,0.94,17.22,Europe,Politics,0.86,0,Mobile,Auto,None,0.31,72,-0.6,2024-12-02 05:54:16.425643,2025-12-02 05:54:16.425643,1,52,Female,Web,PayPal,No,Cancelled
61,Digital+Print,Annual,No,4.23,19,2,Yes,0.91,20.67,Others,Politics,0.94,2,Desktop,Auto,Retention Offer,0.32,78,-0.12,2023-02-20 05:54:16.425648,2024-02-20 05:54:16.425648,3,45,Female,Referral,Credit Card,Yes,Active
